source_np	source_locus_tag	source_gene	kt2440_current_protein	nbrc14164_protein	nbrc14164_transcript	nbrc14164_locus_tag	nbrc14164_gene	identity_percent	query_coverage_percent	subject_coverage_percent	method	status
NP_742488.1	PP_0321	ltaE	WP_010951681.1	WP_016497628.1	unassigned_transcript_362	PP4_RS01770		98.256	99.0	99.422	reciprocal_best_hit	mapped
NP_742489.1	PP_0322	glyA1	WP_003255681.1	WP_016497629.1	unassigned_transcript_363	PP4_RS01775		99.281	100.0	100.0	reciprocal_best_hit	mapped
NP_742493.1	PP_0326	soxG	WP_003255677.1	WP_012270121.1	unassigned_transcript_367	PP4_RS01795		98.095	100.0	100.0	reciprocal_best_hit	mapped
NP_742523.1	PP_0356	glcB	WP_010951708.1	WP_016497663.1	unassigned_transcript_402	PP4_RS01965		98.069	100.0	100.0	reciprocal_best_hit	mapped
NP_742542.1	PP_0375		WP_010951726.1	WP_016497680.1	unassigned_transcript_420	PP4_RS02055		90.924	99.0	99.835	reciprocal_best_hit	mapped
NP_742548.1	PP_0381	pqqF	WP_010951730.1	WP_016497685.1	unassigned_transcript_426	PP4_RS02080	pqqF	79.528	99.0	100.0	reciprocal_best_hit	mapped
NP_742552.1	PP_0385		WP_003255582.1	WP_041167953.1	unassigned_transcript_433	PP4_RS02110		93.923	98.0	98.37	reciprocal_best_hit	mapped
NP_742557.1	PP_0390	tsaD	WP_010951736.1	WP_016497697.1	unassigned_transcript_441	PP4_RS02145	tsaD	99.413	100.0	100.0	reciprocal_best_hit	mapped
NP_742583.1	PP_0417	trpE	WP_010951754.1	WP_016484627.1	unassigned_transcript_468	PP4_RS02280	trpE	98.174	100.0	100.0	reciprocal_best_hit	mapped
NP_742587.1	PP_0421	trpD	WP_010951756.1	WP_016497724.1	unassigned_transcript_471	PP4_RS02295	trpD	97.135	100.0	100.0	reciprocal_best_hit	mapped
NP_742588.1	PP_0422	trpC	WP_010951757.1	WP_016497725.1	unassigned_transcript_472	PP4_RS02300	trpC	98.917	100.0	100.0	reciprocal_best_hit	mapped
NP_742598.1	PP_0432	argC1	WP_010951765.1	WP_016497733.1	unassigned_transcript_482	PP4_RS02350	argC	99.419	100.0	100.0	reciprocal_best_hit	mapped
NP_742702.1	PP_0539	mtfA	WP_010951819.1	WP_016497836.1	unassigned_transcript_641	PP4_RS03130		94.834	100.0	100.0	reciprocal_best_hit	mapped
NP_742714.1	PP_0551			WP_016497848.1	unassigned_transcript_653	PP4_RS03190		93.414	90.0	100.0	direct_unique_best_hit	mapped
NP_742721.1	PP_0558	accC	WP_003255333.1	WP_012270325.1	unassigned_transcript_660	PP4_RS03225	accC	99.778	99.0	99.778	reciprocal_best_hit	mapped
NP_742722.1	PP_0559	accB	WP_010951833.1	WP_016497855.1	unassigned_transcript_661	PP4_RS03230	accB	96.732	100.0	100.0	reciprocal_best_hit	mapped
NP_742723.1	PP_0560	aroQ1	WP_010951834.1	WP_003255330.1	unassigned_transcript_662	PP4_RS03235	aroQ	99.338	100.0	100.0	reciprocal_best_hit	mapped
NP_742730.1	PP_0567	speA	WP_010951840.1	WP_016497862.1	unassigned_transcript_669	PP4_RS03270	speA	98.43	100.0	100.0	reciprocal_best_hit	mapped
NP_742738.1	PP_0575		WP_010951848.1	WP_016497870.1	unassigned_transcript_677	PP4_RS03310		92.308	100.0	100.0	reciprocal_best_hit	mapped
NP_742766.1	PP_0604	lspA		WP_016501596.1	unassigned_transcript_4754	PP4_RS23405	lspA	98.246	97.0	100.0	direct_unique_best_hit	mapped
NP_742793.1	PP_0632	pilD	WP_010951890.1	WP_016501577.1	unassigned_transcript_4729	PP4_RS23280		92.014	100.0	100.0	reciprocal_best_hit	mapped
NP_742815.2	PP_0654	mdh		WP_016501561.1	unassigned_transcript_4712	PP4_RS23215		96.44	99.0	100.0	direct_unique_best_hit	mapped
NP_742819.1	PP_0658										reciprocal_best_hit	unmapped
NP_742825.1	PP_0664										reciprocal_best_hit	unmapped
NP_742832.1	PP_0671	glyA2	WP_003247505.1	WP_016501556.1	unassigned_transcript_4708	PP4_RS23190	glyA	99.52	100.0	100.0	reciprocal_best_hit	mapped
NP_742841.1	PP_0680		WP_004575710.1	WP_016501547.1	unassigned_transcript_4699	PP4_RS23140		98.276	100.0	100.0	reciprocal_best_hit	mapped
NP_742852.1	PP_0691	proB	WP_003247458.1	WP_016501542.1	unassigned_transcript_4688	PP4_RS23085	proB	98.656	100.0	100.0	reciprocal_best_hit	mapped
NP_742873.1	PP_0712	ppkB	WP_010951960.1	WP_016501519.1	unassigned_transcript_4663	PP4_RS22965	ppk2	92.647	100.0	100.0	reciprocal_best_hit	mapped
NP_742912.1	PP_0751	mqo-I	WP_010951993.1	WP_016501486.1	unassigned_transcript_4629	PP4_RS22795	mqo	98.207	100.0	100.0	reciprocal_best_hit	mapped
NP_742919.1	PP_0758		WP_010952000.1	WP_016501479.1	unassigned_transcript_4621	PP4_RS22755		97.087	100.0	100.0	reciprocal_best_hit	mapped
NP_742920.1	PP_0759			WP_016501478.1	unassigned_transcript_4620	PP4_RS22750		97.398	96.0	99.262	direct_unique_best_hit	mapped
NP_742946.1	PP_0785	cysZ	WP_010952022.1	WP_016501458.1	unassigned_transcript_4600	PP4_RS22650	cysZ	96.694	100.0	100.0	reciprocal_best_hit	mapped
NP_742965.1	PP_0804		WP_010952040.1	WP_016501436.1	unassigned_transcript_4576	PP4_RS22530		96.122	100.0	100.0	reciprocal_best_hit	mapped
NP_742984.1	PP_0823	selD	WP_010952053.1	WP_016501420.1	unassigned_transcript_4558	PP4_RS22440	selD	96.512	100.0	100.0	reciprocal_best_hit	mapped
NP_743001.1	PP_0840	cysE	WP_010952064.1	WP_016501401.1	unassigned_transcript_4536	PP4_RS22330	cysE	98.467	100.0	100.0	reciprocal_best_hit	mapped
NP_743101.1	PP_0940	tldD	WP_010952138.1	WP_016501346.1	unassigned_transcript_4469	PP4_RS21995	tldD	99.165	100.0	100.0	reciprocal_best_hit	mapped
NP_743103.1	PP_0942	pmbA		WP_016501344.1	unassigned_transcript_4467	PP4_RS21985	pmbA	97.098	99.0	100.0	direct_unique_best_hit	mapped
NP_743105.1	PP_0944	fumC-I		WP_016501342.1	unassigned_transcript_4465	PP4_RS21975		95.633	99.0	100.0	direct_unique_best_hit	mapped
NP_743126.1	PP_0965	hisG	WP_010952155.1	WP_016501322.1	unassigned_transcript_4444	PP4_RS21870	hisG	98.578	100.0	100.0	reciprocal_best_hit	mapped
NP_743127.1	PP_0966	hisD	WP_010952156.1	WP_016501321.1	unassigned_transcript_4443	PP4_RS21865	hisD	98.413	100.0	100.0	reciprocal_best_hit	mapped
NP_743128.1	PP_0967	hisC	WP_010952157.1	WP_016501320.1	unassigned_transcript_4442	PP4_RS21860	hisC	97.989	100.0	100.0	reciprocal_best_hit	mapped
NP_743141.1	PP_0980	pepA	WP_010952169.1	WP_016501309.1	unassigned_transcript_4430	PP4_RS21800		96.579	100.0	100.0	reciprocal_best_hit	mapped
NP_743147.1	PP_0986	gcvT-I	WP_010952173.1	WP_016501304.1	unassigned_transcript_4425	PP4_RS21775	gcvT	95.979	100.0	100.0	reciprocal_best_hit	mapped
NP_743149.1	PP_0988	gcvP1	WP_003255089.1	WP_016501302.1	unassigned_transcript_4423	PP4_RS21765	gcvP	97.792	100.0	100.0	reciprocal_best_hit	mapped
NP_743150.1	PP_0989	gcvH1	WP_010952175.1	WP_016501301.1	unassigned_transcript_4422	PP4_RS21760	gcvH	94.488	100.0	100.0	reciprocal_best_hit	mapped
NP_743161.1	PP_1000	arcB	WP_010952185.1	WP_016501296.1	unassigned_transcript_4417	PP4_RS21735		98.81	100.0	100.0	reciprocal_best_hit	mapped
NP_743162.1	PP_1001	arcA	WP_010952186.1	WP_016501295.1	unassigned_transcript_4416	PP4_RS21730	arcA	91.429	100.0	100.0	reciprocal_best_hit	mapped
NP_743163.1	PP_1002	arcD-I	WP_010952187.1	WP_016501294.1	unassigned_transcript_4415	PP4_RS21725	arcD	98.105	100.0	100.0	reciprocal_best_hit	mapped
NP_743164.1	PP_1003	arcD-II	WP_003255067.1	WP_016501293.1	unassigned_transcript_4414	PP4_RS21720	arcD	97.684	100.0	100.0	reciprocal_best_hit	mapped
NP_743170.1	PP_1009	gapA	WP_010952192.1	WP_016501287.1	unassigned_transcript_4408	PP4_RS21690	gap	96.988	99.0	99.7	reciprocal_best_hit	mapped
NP_743171.1	PP_1010	edd	WP_003255057.1	WP_016501286.1	unassigned_transcript_4407	PP4_RS21685	edd	99.013	100.0	100.0	reciprocal_best_hit	mapped
NP_743172.1	PP_1011	glk	WP_010952193.1	WP_016501285.1	unassigned_transcript_4406	PP4_RS21680		95.611	100.0	99.688	reciprocal_best_hit	mapped
NP_743176.1	PP_1015	gtsA	WP_010952197.1	WP_016501282.1	unassigned_transcript_4403	PP4_RS21665		93.705	96.0	96.495	reciprocal_best_hit	mapped
NP_743177.1	PP_1016	gtsB	WP_003255050.1	WP_003255050.1	unassigned_transcript_4402	PP4_RS21660		100.0	100.0	100.0	reciprocal_best_hit	mapped
NP_743178.1	PP_1017	gtsC	WP_010952198.1	WP_016501281.1	unassigned_transcript_4401	PP4_RS21655		97.509	100.0	100.0	reciprocal_best_hit	mapped
NP_743179.1	PP_1018	gtsD	WP_003255047.1	WP_016501280.1	unassigned_transcript_4400	PP4_RS21650		96.094	100.0	100.0	reciprocal_best_hit	mapped
NP_743183.1	PP_1022	zwfA	WP_010952201.1	WP_016501277.1	unassigned_transcript_4396	PP4_RS21630	zwf	97.137	100.0	100.0	reciprocal_best_hit	mapped
NP_743184.1	PP_1023	pgl		WP_016501276.1	unassigned_transcript_4395	PP4_RS21625	pgl	94.093	98.0	100.0	direct_unique_best_hit	mapped
NP_743185.1	PP_1024	eda		WP_016501275.1	unassigned_transcript_4394	PP4_RS21620		99.115	96.0	100.0	direct_unique_best_hit	mapped
NP_743186.1	PP_1025	leuA	WP_010952204.1	WP_016501273.1	unassigned_transcript_4392	PP4_RS21610	leuA	99.102	100.0	100.0	reciprocal_best_hit	mapped
NP_743221.1	PP_1060			WP_016497578.1	unassigned_transcript_301	PP4_RS01485		77.425	99.0	96.403	direct_unique_best_hit	mapped
NP_743240.1	PP_1079	argF	WP_010952249.1	WP_016498209.1	unassigned_transcript_1062	PP4_RS05195	argF	99.02	100.0	100.0	reciprocal_best_hit	mapped
NP_743249.1	PP_1088	argG	WP_003254941.1	WP_016498216.1	unassigned_transcript_1071	PP4_RS05245		99.506	100.0	100.0	reciprocal_best_hit	mapped
NP_743271.2	PP_1110			WP_016498234.1	unassigned_transcript_1093	PP4_RS05355		94.421	99.0	98.312	direct_unique_best_hit	mapped
NP_743330.1	PP_1170	gnl	WP_010952324.1	WP_016498290.1	unassigned_transcript_1159	PP4_RS05685		93.174	100.0	100.0	reciprocal_best_hit	mapped
NP_743392.1	PP_1232		WP_010952374.1	WP_016498336.1	unassigned_transcript_1217	PP4_RS05980		95.607	100.0	100.0	reciprocal_best_hit	mapped
NP_743397.1	PP_1237	dapA	WP_003254739.1	WP_016498340.1	unassigned_transcript_1223	PP4_RS06010	dapA	96.61	100.0	100.0	reciprocal_best_hit	mapped
NP_743411.3	PP_1251	mqo-II		WP_016498351.1	unassigned_transcript_1237	PP4_RS06080	mqo	97.343	100.0	96.697	direct_unique_best_hit	mapped
NP_743461.1	PP_1301	degS		WP_016498023.1	unassigned_transcript_849	PP4_RS04150	algW	97.927	96.0	100.0	direct_unique_best_hit	mapped
NP_743481.1	PP_1321	sspB		WP_016498036.1	unassigned_transcript_867	PP4_RS04240		95.105	93.0	100.704	direct_unique_best_hit	mapped
NP_743490.1	PP_1331	ftsI		WP_162471779.1	unassigned_transcript_878	PP4_RS04290		97.418	99.0	100.345	direct_unique_best_hit	mapped
NP_743505.1	PP_1346	argJ	WP_010952461.1	WP_016498057.1	unassigned_transcript_893	PP4_RS04365	argJ	98.765	100.0	100.0	reciprocal_best_hit	mapped
NP_743521.1	PP_1362	pykA	WP_003251912.1	WP_016498105.1	unassigned_transcript_947	PP4_RS04630	pyk	98.554	100.0	100.0	reciprocal_best_hit	mapped
NP_743536.1	PP_1377	pcaF-I		WP_016498120.1	unassigned_transcript_963	PP4_RS04705	pcaF	97.5	100.0	100.0	direct_unique_best_hit	mapped
NP_743588.1	PP_1430			WP_016498173.1	unassigned_transcript_1020	PP4_RS04985		96.567	95.0	100.0	direct_unique_best_hit	mapped
NP_743590.1	PP_1432	lepB	WP_003252057.1	WP_016498175.1	unassigned_transcript_1022	PP4_RS04995	lepB	96.831	100.0	100.0	reciprocal_best_hit	mapped
NP_743601.1	PP_1443	lon-I	WP_010952543.1	WP_016498184.1	unassigned_transcript_1033	PP4_RS05050	lon	97.764	100.0	100.0	reciprocal_best_hit	mapped
NP_743602.1	PP_1444	gcd	WP_010952544.1	WP_016498185.1	unassigned_transcript_1034	PP4_RS05055		97.883	100.0	100.0	reciprocal_best_hit	mapped
NP_743628.1	PP_1470	hom	WP_003252157.1	WP_016501225.1	unassigned_transcript_4342	PP4_RS21360		99.309	100.0	100.0	reciprocal_best_hit	mapped
NP_743657.1	PP_1500		WP_010952592.1	WP_041167854.1	unassigned_transcript_4315	PP4_RS21220		96.091	100.0	100.0	reciprocal_best_hit	mapped
NP_743682.1	PP_1525	dapE	WP_004574734.1	WP_016501176.1	unassigned_transcript_4292	PP4_RS21105	dapE	98.433	100.0	100.0	reciprocal_best_hit	mapped
NP_743687.1	PP_1530	dapD	WP_004574732.1	WP_016485200.1	unassigned_transcript_4287	PP4_RS21080	dapD	98.256	100.0	100.0	reciprocal_best_hit	mapped
NP_743745.1	PP_1588	dapC	WP_010952672.1	WP_016501170.1	unassigned_transcript_4282	PP4_RS21060	dapC	97.739	100.0	100.0	reciprocal_best_hit	mapped
NP_743747.1	PP_1590	map	WP_003252286.1	WP_016501168.1	unassigned_transcript_4280	PP4_RS21050	map	98.462	100.0	100.0	reciprocal_best_hit	mapped
NP_743755.1	PP_1598	rseP		WP_016501162.1	unassigned_transcript_4272	PP4_RS21010	rseP	94.889	99.0	100.0	direct_unique_best_hit	mapped
NP_743759.1	PP_1602	fabZ		WP_008094893.1	unassigned_transcript_4268	PP4_RS20990	fabZ	99.315	90.0	100.0	direct_unique_best_hit	mapped
NP_743764.1	PP_1607	accA	WP_003252323.1	WP_016501155.1	unassigned_transcript_4263	PP4_RS20965	accA	98.73	100.0	100.0	reciprocal_best_hit	mapped
NP_743769.1	PP_1612	eno	WP_003252333.1	WP_016501151.1	unassigned_transcript_4259	PP4_RS20945	eno	99.068	100.0	100.0	reciprocal_best_hit	mapped
NP_743811.1	PP_1654	cysM	WP_010952713.1	WP_041167848.1	unassigned_transcript_4218	PP4_RS20740	cysM	99.329	99.0	99.666	reciprocal_best_hit	mapped
NP_743876.1	PP_1719	prc		WP_165605159.1	unassigned_transcript_4156	PP4_RS20435		97.547	98.0	100.0	direct_unique_best_hit	mapped
NP_743887.1	PP_1730	apeB	WP_010952777.1	WP_016501051.1	unassigned_transcript_4145	PP4_RS20385		95.338	100.0	100.0	reciprocal_best_hit	mapped
NP_743904.1	PP_1748		WP_010952789.1	WP_003252630.1	unassigned_transcript_4121	PP4_RS20265		98.477	100.0	100.0	reciprocal_best_hit	mapped
NP_743906.1	PP_1750	asnB	WP_010952790.1	WP_016501029.1	unassigned_transcript_4119	PP4_RS20255		97.647	100.0	100.0	reciprocal_best_hit	mapped
NP_743911.1	PP_1755	fumC-II	WP_010952795.1	WP_016501025.1	unassigned_transcript_4115	PP4_RS20235		97.198	100.0	100.0	reciprocal_best_hit	mapped
NP_743922.1	PP_1766	mtnA	WP_010952804.1	WP_016501015.1	unassigned_transcript_4104	PP4_RS20180	mtnA	94.134	100.0	100.0	reciprocal_best_hit	mapped
NP_743924.1	PP_1768	serC	WP_010952806.1	WP_041168115.1	unassigned_transcript_4102	PP4_RS20170	serC	97.507	100.0	100.0	reciprocal_best_hit	mapped
NP_743925.1	PP_1769	pheA		WP_016501012.1	unassigned_transcript_4101	PP4_RS20165	pheA	99.176	99.0	100.0	direct_unique_best_hit	mapped
NP_743926.1	PP_1770	aroA		WP_016501011.1	unassigned_transcript_4100	PP4_RS20160		96.8	100.0	100.0	direct_unique_best_hit	mapped
NP_743985.1	PP_1830	aroC	WP_003252803.1	WP_016500963.1	unassigned_transcript_4047	PP4_RS19905	aroC	99.171	99.0	99.725	reciprocal_best_hit	mapped
NP_744021.1	PP_1866	aroH	WP_010952895.1	WP_016500934.1	unassigned_transcript_4015	PP4_RS19745		98.884	100.0	100.0	reciprocal_best_hit	mapped
NP_744026.1	PP_1871	htpX	WP_010952899.1	WP_016500929.1	unassigned_transcript_4010	PP4_RS19720	htpX	98.983	100.0	100.0	reciprocal_best_hit	mapped
NP_744048.1	PP_1893	fadE	WP_010952920.1	WP_016500913.1	unassigned_transcript_3988	PP4_RS19610		91.553	99.0	98.773	reciprocal_best_hit	mapped
NP_744062.1	PP_1908		WP_010952932.1	WP_016500898.1	unassigned_transcript_3972	PP4_RS19535		95.181	100.0	100.0	reciprocal_best_hit	mapped
NP_744067.1	PP_1913	fabD	WP_010952936.1	WP_016500894.1	unassigned_transcript_3967	PP4_RS19510	fabD	97.115	100.0	100.0	reciprocal_best_hit	mapped
NP_744068.1	PP_1914	fabG	WP_003247160.1	WP_016500893.1	unassigned_transcript_3966	PP4_RS19505	fabG	99.187	100.0	100.0	reciprocal_best_hit	mapped
NP_744069.1	PP_1915	acpP	WP_010952937.1	WP_016500892.1	unassigned_transcript_3965	PP4_RS19500	acpP	93.59	100.0	100.0	reciprocal_best_hit	mapped
NP_744070.1	PP_1916	fabF	WP_010952938.1	WP_012271164.1	unassigned_transcript_3964	PP4_RS19495	fabF	99.758	100.0	100.0	reciprocal_best_hit	mapped
NP_744097.1	PP_1945	folD1									reciprocal_best_hit	unmapped
NP_744099.1	PP_1947										reciprocal_best_hit	unmapped
NP_744136.1	PP_1985	leuC	WP_010953002.1	WP_016500870.1	unassigned_transcript_3933	PP4_RS19345	leuC	98.742	100.0	100.0	reciprocal_best_hit	mapped
NP_744137.1	PP_1986	leuD	WP_010953003.1	WP_016500869.1	unassigned_transcript_3932	PP4_RS19340	leuD	96.729	100.0	100.0	reciprocal_best_hit	mapped
NP_744139.1	PP_1988	leuB	WP_003247194.1	WP_016500867.1	unassigned_transcript_3930	PP4_RS19330	leuB	99.444	100.0	100.0	reciprocal_best_hit	mapped
NP_744140.1	PP_1989	asd	WP_003247195.1	WP_016500866.1	unassigned_transcript_3929	PP4_RS19325	asd	99.189	100.0	100.0	reciprocal_best_hit	mapped
NP_744143.1	PP_1992	asd	WP_010953006.1	WP_016500865.1	unassigned_transcript_3928	PP4_RS19320		96.707	100.0	100.0	reciprocal_best_hit	mapped
NP_744145.1	PP_1995	trpF	WP_010953008.1	WP_016500862.1	unassigned_transcript_3925	PP4_RS19305		97.087	100.0	100.0	reciprocal_best_hit	mapped
NP_744146.1	PP_1996	accD	WP_004574892.1	WP_009686024.1	unassigned_transcript_3924	PP4_RS19300	accD	98.653	100.0	100.0	reciprocal_best_hit	mapped
NP_744151.1	PP_2001	metZ	WP_010953012.1	WP_016500858.1	unassigned_transcript_3919	PP4_RS19275		98.511	100.0	100.0	reciprocal_best_hit	mapped
NP_744162.1	PP_2012	ppnK		WP_008090067.1	unassigned_transcript_3905	PP4_RS19210		98.986	94.0	100.0	direct_unique_best_hit	mapped
NP_744164.1	PP_2014										reciprocal_best_hit	unmapped
NP_744167.1	PP_2017	pepN	WP_010953026.1	WP_016500843.1	unassigned_transcript_3900	PP4_RS19185	pepN	96.158	100.0	100.0	reciprocal_best_hit	mapped
NP_744201.1	PP_2051	fadA	WP_010953057.1	WP_016500612.1	unassigned_transcript_3648	PP4_RS17965		75.127	100.0	100.0	reciprocal_best_hit	mapped
NP_744227.1	PP_2077	lysA-I	WP_010953079.1	WP_016500800.1	unassigned_transcript_3856	PP4_RS18970	lysA	96.585	100.0	100.0	reciprocal_best_hit	mapped
NP_744230.2	PP_2080	gdhB	WP_049586685.1	WP_016500797.1	unassigned_transcript_3853	PP4_RS18955		98.766	100.0	100.0	reciprocal_best_hit	mapped
NP_744248.1	PP_2098	dacB		WP_016500780.1	unassigned_transcript_3834	PP4_RS18865	dacB	97.452	100.0	97.113	direct_unique_best_hit	mapped
NP_744261.1	PP_2112	acnA-I	WP_010953110.1	WP_016500767.1	unassigned_transcript_3820	PP4_RS18795	acnA	95.504	99.0	99.89	reciprocal_best_hit	mapped
NP_744285.1	PP_2136	fadB	WP_010953127.1	WP_016500746.1	unassigned_transcript_3797	PP4_RS18690	fadB	98.322	100.0	100.0	reciprocal_best_hit	mapped
NP_744286.1	PP_2137	pcaF-II	WP_010953128.1	WP_016500745.1	unassigned_transcript_3796	PP4_RS18685	fadA	99.233	100.0	100.0	reciprocal_best_hit	mapped
NP_744292.1	PP_2143	lexA1	WP_010953131.1	WP_016500740.1	unassigned_transcript_3790	PP4_RS18655	lexA	98.02	100.0	100.0	reciprocal_best_hit	mapped
NP_744298.1	PP_2149	gapB	WP_010953137.1	WP_041167813.1	unassigned_transcript_3783	PP4_RS18620		98.768	100.0	100.0	reciprocal_best_hit	mapped
NP_744355.1	PP_2206	yegQ		WP_016500645.1	unassigned_transcript_3691	PP4_RS18175	trhP	96.948	100.0	95.946	direct_unique_best_hit	mapped
NP_744363.1	PP_2214	fadBA	WP_003250091.1	WP_016500635.1	unassigned_transcript_3681	PP4_RS18125		97.647	100.0	100.0	reciprocal_best_hit	mapped
NP_744365.1	PP_2216	acd	WP_010953197.1	WP_016500633.1	unassigned_transcript_3679	PP4_RS18115		97.067	100.0	100.0	reciprocal_best_hit	mapped
NP_744385.2	PP_2236		WP_049588163.1	WP_016500621.1	unassigned_transcript_3662	PP4_RS18035		92.969	100.0	100.0	reciprocal_best_hit	mapped
NP_744387.1	PP_2238			WP_016500619.1	unassigned_transcript_3660	PP4_RS18025		92.691	95.0	100.0	direct_unique_best_hit	mapped
NP_744414.1	PP_2265	folD2	WP_003250234.1	WP_016500563.1	unassigned_transcript_3596	PP4_RS17710	folD	98.239	100.0	100.0	reciprocal_best_hit	mapped
NP_744449.1	PP_2300	clpP	WP_003259400.1	WP_012271562.1	unassigned_transcript_3587	PP4_RS17665	clpP	97.653	100.0	100.0	reciprocal_best_hit	mapped
NP_744451.1	PP_2302	lon-II	WP_010953272.1	WP_016500558.1	unassigned_transcript_3585	PP4_RS17655	lon	99.123	100.0	100.0	reciprocal_best_hit	mapped
NP_744467.1	PP_2318	tesA	WP_010953286.1	WP_016500544.1	unassigned_transcript_3569	PP4_RS17575		95.522	100.0	100.0	reciprocal_best_hit	mapped
NP_744473.1	PP_2324	aroF-I		WP_016500541.1	unassigned_transcript_3564	PP4_RS17550		97.765	97.0	100.0	direct_unique_best_hit	mapped
NP_744477.1	PP_2328	cysH	WP_003250299.1	WP_016500538.1	unassigned_transcript_3560	PP4_RS17530		99.59	100.0	100.0	reciprocal_best_hit	mapped
NP_744485.1	PP_2336	acnA-II	WP_010953299.1	WP_016500531.1	unassigned_transcript_3552	PP4_RS17490	acnD	98.84	100.0	100.0	reciprocal_best_hit	mapped
NP_744488.1	PP_2339	acnB	WP_010953302.1	WP_041167795.1	unassigned_transcript_3549	PP4_RS17475	acnB	98.619	100.0	100.0	reciprocal_best_hit	mapped
NP_744513.1	PP_2364		WP_010953323.1	WP_041168096.1	unassigned_transcript_3525	PP4_RS17355		94.764	100.0	100.0	reciprocal_best_hit	mapped
NP_744524.1	PP_2375	metH	WP_010953333.1	WP_016500491.1	unassigned_transcript_3509	PP4_RS17275	metH	97.814	100.0	100.0	reciprocal_best_hit	mapped
NP_744554.1	PP_2406	aroE	WP_010953360.1	WP_041167787.1	unassigned_transcript_3478	PP4_RS17120		95.745	100.0	100.0	reciprocal_best_hit	mapped
NP_744555.1	PP_2407	aroQ2	WP_003250469.1	WP_041167786.1	unassigned_transcript_3477	PP4_RS17115	aroQ	95.973	100.0	100.0	reciprocal_best_hit	mapped
NP_744673.1	PP_2528		WP_010953458.1	WP_016499044.1	unassigned_transcript_2014	PP4_RS09905		98.118	100.0	100.0	reciprocal_best_hit	mapped
